realization,protocol,d_collected,F_cond,P_success,Y_weighted
55,matched,1,0.5760951357119872,0.4339561029117671,0.24999999999999958
55,matched,2,0.8433457511306583,0.29643832279326604,0.2499999999999995
55,matched,3,0.9552966885983705,0.2616988030878703,0.2499999999999995
55,matched,4,0.9884123991893767,0.25293086185991903,0.2499999999999994
55,matched,5,0.9976370391452697,0.25059213941594244,0.24999999999999944
55,matched,6,0.999266925171585,0.25018340315533966,0.24999999999999928
55,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
56,matched,1,0.5670939449039165,0.4408440651616504,0.24999999999999956
56,matched,2,0.8428403821733854,0.2966160678672496,0.24999999999999947
56,matched,3,0.9529630135477456,0.2623396673804632,0.24999999999999944
56,matched,4,0.9858216110615361,0.2535955767198069,0.24999999999999944
56,matched,5,0.996141520762664,0.250968356191593,0.24999999999999942
56,matched,6,0.999005832749239,0.25024878915071563,0.24999999999999942
56,matched,7,1.0,0.24999999999999942,0.24999999999999942
57,matched,1,0.572710345176392,0.43652083833582717,0.24999999999999958
57,matched,2,0.8402016177321869,0.29754762990671446,0.24999999999999953
57,matched,3,0.9554666970369147,0.2616522384038056,0.24999999999999947
57,matched,4,0.9882544994921726,0.25297127422993293,0.2499999999999995
57,matched,5,0.9975333484725524,0.2506181877355836,0.24999999999999944
57,matched,6,0.9996830916778608,0.2500792521962147,0.24999999999999936
57,matched,7,1.0,0.24999999999999942,0.24999999999999942
58,matched,1,0.5723149188234744,0.4368224412425459,0.24999999999999956
58,matched,2,0.847983815977251,0.29481694731625185,0.24999999999999942
58,matched,3,0.9573082554824616,0.261148902214371,0.24999999999999942
58,matched,4,0.9887032616808054,0.25285645318393807,0.24999999999999942
